,loss,mae,mse,mean_absolute_percentage_error,smape_loss,val_loss,val_mae,val_mse,val_mean_absolute_percentage_error,val_smape_loss
919,3.7731992051703855e-05,0.004426056984812021,3.7731992051703855e-05,1.1380615234375,0.8905441761016846,0.00010243373253615573,0.007544089108705521,0.00010243373253615573,1.9241914749145508,1.5306137800216675
920,4.4857111788587645e-05,0.004348625894635916,4.4857111788587645e-05,1.1502716541290283,0.9043641090393066,6.788564496673644e-05,0.006028495263308287,6.788564496673644e-05,1.785219430923462,1.3848357200622559
921,3.5636396205518395e-05,0.004343101754784584,3.5636396205518395e-05,1.1486724615097046,0.9034314751625061,8.869711018633097e-05,0.0072583784349262714,8.869711018633097e-05,1.8423970937728882,1.5075128078460693
922,3.746719812625088e-05,0.004432599060237408,3.746719812625088e-05,1.142455816268921,0.8977226614952087,5.78452309127897e-05,0.005017195362597704,5.78452309127897e-05,1.3356889486312866,1.0550601482391357
923,3.469238072284497e-05,0.004365505650639534,3.469238072284497e-05,1.1566873788833618,0.8939024806022644,6.104231579229236e-05,0.005596577655524015,6.104231579229236e-05,1.463792085647583,1.1883429288864136
924,3.067632133024745e-05,0.004171130713075399,3.067632133024745e-05,1.0791356563568115,0.8450311422348022,7.847162487450987e-05,0.006530882325023413,7.847162487450987e-05,2.3168344497680664,1.565765380859375
925,2.945309825008735e-05,0.004037343896925449,2.945309825008735e-05,1.0930286645889282,0.8331986665725708,0.00015707423153799027,0.01020861603319645,0.00015707423153799027,2.426795721054077,2.014575958251953
926,3.0482544389087707e-05,0.004050447139889002,3.0482544389087707e-05,1.0502912998199463,0.8228257894515991,5.238789526629262e-05,0.0052076540887355804,5.238789526629262e-05,1.3630828857421875,1.0943503379821777
927,3.662781455204822e-05,0.004173630848526955,3.662781455204822e-05,1.0798821449279785,0.8420089483261108,7.522823580075055e-05,0.006404654122889042,7.522823580075055e-05,1.6551095247268677,1.3391385078430176
928,3.453893441474065e-05,0.004210634157061577,3.453893441474065e-05,1.09359872341156,0.8574999570846558,0.00014134190860204399,0.008427578024566174,0.00014134190860204399,1.8161331415176392,1.5220494270324707
929,2.9507205908885226e-05,0.003942678216844797,2.9507205908885226e-05,1.0190333127975464,0.7925857901573181,0.00010784447658807039,0.006986063905060291,0.00010784447658807039,1.5073148012161255,1.2510930299758911
930,3.066459612455219e-05,0.004003024660050869,3.066459612455219e-05,1.0401846170425415,0.8124029040336609,5.188603245187551e-05,0.00502924807369709,5.188603245187551e-05,1.2684102058410645,1.015791893005371
931,3.177650069119409e-05,0.004190029110759497,3.177650069119409e-05,1.1125096082687378,0.858150839805603,0.00010674369696062058,0.007846332155168056,0.00010674369696062058,1.996882438659668,1.659551978111267
932,3.056408604606986e-05,0.00419233413413167,3.056408604606986e-05,1.0912202596664429,0.8517699241638184,9.497523569734767e-05,0.006723323836922646,9.497523569734767e-05,1.6413136720657349,1.3601053953170776
933,2.7901303838007152e-05,0.003930181730538607,2.7901303838007152e-05,1.0459145307540894,0.8060284852981567,6.11486320849508e-05,0.005607017315924168,6.11486320849508e-05,1.4500699043273926,1.1562037467956543
934,2.5684244974399917e-05,0.0037901154719293118,2.5684244974399917e-05,0.9986477494239807,0.7721539735794067,7.013889990048483e-05,0.006134251598268747,7.013889990048483e-05,1.6172864437103271,1.3095964193344116
935,2.9723174520768225e-05,0.0041464888490736485,2.9723174520768225e-05,1.0980885028839111,0.8566741943359375,9.253229654859751e-05,0.006713187322020531,9.253229654859751e-05,1.6267647743225098,1.3482345342636108
936,2.8426537028281018e-05,0.003983865026384592,2.8426537028281018e-05,1.0589561462402344,0.8178367614746094,6.211674917722121e-05,0.0057535553351044655,6.211674917722121e-05,1.5557193756103516,1.2462714910507202
937,2.7952435630140826e-05,0.004032928962260485,2.7952435630140826e-05,1.0572532415390015,0.8237891793251038,5.596027403953485e-05,0.0052871135994791985,5.596027403953485e-05,1.4259756803512573,1.1072977781295776
938,2.662950828380417e-05,0.0038618871476501226,2.662950828380417e-05,1.034191608428955,0.7923107147216797,0.0001070345169864595,0.008129129186272621,0.0001070345169864595,2.7475364208221436,1.898536205291748
939,3.0226201488403603e-05,0.0041402168571949005,3.0226201488403603e-05,1.0938661098480225,0.8492359519004822,7.559614459751174e-05,0.006196309812366962,7.559614459751174e-05,1.6089380979537964,1.286118507385254
940,3.000954893650487e-05,0.004067956004291773,3.000954893650487e-05,1.0787526369094849,0.834784209728241,4.1711035009939224e-05,0.004436253570020199,4.1711035009939224e-05,1.184515118598938,0.9405255317687988
941,2.6474443075130694e-05,0.00395052507519722,2.6474443075130694e-05,1.0456973314285278,0.8145111799240112,0.00011538669059518725,0.008339452557265759,0.00011538669059518725,2.0768752098083496,1.6833064556121826
942,3.811363785644062e-05,0.004026520531624556,3.811363785644062e-05,1.0473145246505737,0.8125346302986145,0.0003693010366987437,0.009901871904730797,0.0003693010366987437,2.1537275314331055,1.791450023651123
943,7.714163803029805e-05,0.004906992893666029,7.714163803029805e-05,1.1907587051391602,0.9571170210838318,6.88904183334671e-05,0.00613551726564765,6.88904183334671e-05,1.6028071641921997,1.3053431510925293
944,3.472818207228556e-05,0.004448860418051481,3.472818207228556e-05,1.1256911754608154,0.8884592652320862,7.132338214432821e-05,0.005841594189405441,7.132338214432821e-05,1.3966096639633179,1.1535959243774414
945,2.9109793103998527e-05,0.0040236846543848515,2.9109793103998527e-05,1.0362579822540283,0.8102061152458191,5.084473013994284e-05,0.004795190412551165,5.084473013994284e-05,1.2509430646896362,0.9953348636627197
946,4.667233952204697e-05,0.0042321812361478806,4.667233952204697e-05,1.086624264717102,0.8469999432563782,7.913512672530487e-05,0.00663234107196331,7.913512672530487e-05,1.851230502128601,1.465937852859497
947,6.699299410684034e-05,0.004369756206870079,6.699299410684034e-05,1.0863189697265625,0.8611465692520142,7.029028347460553e-05,0.006419691257178783,7.029028347460553e-05,1.6405158042907715,1.3349030017852783
948,4.1709718061611056e-05,0.004138389602303505,4.1709718061611056e-05,1.049805998802185,0.8190622925758362,6.764748104615137e-05,0.006108358036726713,6.764748104615137e-05,1.7081654071807861,1.3397412300109863
949,3.223151361453347e-05,0.004173106048256159,3.223151361453347e-05,1.0587093830108643,0.8334440588951111,5.273236820357852e-05,0.005409154109656811,5.273236820357852e-05,1.4037740230560303,1.1386609077453613
